modelo,r2_sem_idhm,r2_com_idhm,melhoria_r2,melhoria_r2_pct,mse_sem_idhm,mse_com_idhm,melhoria_mse,melhoria_mse_pct
Linear Regression,-11763.513154926268,0.1176812611291455,11763.630836187396,100.00100039214117,5589597.768887719,28333270.182789605,-22743672.413901888,-406.89282761087975
Random Forest,-47462.798027162935,0.8285160293814682,47463.62654319232,100.00174561143427,22551170.291689813,5506742.0168026015,17044428.27488721,75.58112530048227
KNN,-2050.9889645773887,-1.0781105522587753,2049.91085402513,99.9474346000452,974948.3711853503,66732876.85378317,-65757928.48259782,-6744.76007407949
Decision Tree,-52578.33001589152,0.9999945823262402,52579.33001047385,100.00190191392923,24981680.23411762,173.9738800000001,24981506.26023762,99.99930359416031
MLP Regressor,-7.339947004465179,-0.2113595706558411,7.128587433809338,97.12042102582944,3962.505592446043,38899522.91824062,-38895560.41264818,-981590.0446121028
Lasso,-11763.196722414395,0.1176801796800646,11763.314402594075,100.00100040985845,5589447.424335499,28333304.910589945,-22743857.486254446,-406.907083287546
SVR,-0.8228816361758129,-0.2428441194064674,0.5800375167693455,70.48857226477435,866.0940739607322,39910563.69866915,-39909697.60459519,-4608009.545901206
Dummy,-4419.60637996542,-0.0334006775980144,4419.572979287822,99.99924426125934,2100334.3898033486,33184856.351269305,-31084521.961465955,-1479.9796695409227
XGBoost,-52574.77438795281,-0.2509255523029068,52574.52346240051,99.99952272633554,24979990.87139335,40170076.969363056,-15190086.097969707,-60.80901380698713
