"Categoria","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"Amazônia","872369371.4746641","889500070.9031839","1260095131.6975446","1084709228.9744823","1270179432.949119","1599308329.2874908","1368982270.3738852","1399608228.5380807","1370208172.3224258","1308007630.1148524","1210757340.5229394","1342195715.3803046","1479023861.3850026","1936363749.3520408","1781053134.802847","1498919238.722532","1177083775.8863947","984941455.2961586","966324071.2189875","654457439.338388","614315030.2314634","644708401.3600011","624973168.8217273","734371482.556338","693478489.009968","815494871.5332878","888612703.3022165","782397895.6900966","823248046.154003","1075804173.2716882","973707304.9897519","1246986490.2053504","1293085834.0470767","911027681.8077872"
"Mata Atlântica","388807615.97249085","395810512.85779333","358478058.62005997","363231521.5293253","364753382.8911932","368243415.36086136","352076786.04458535","369327465.7699901","332963940.0251821","368578965.76704466","376510833.3447323","348518076.3622919","349922886.15450895","371643952.8063987","357169788.218063","358500220.1150311","353177091.4395024","452190615.04929864","463229998.5749296","453565445.2987259","492019559.0812631","490299076.7933781","529408888.0014798","568901545.8389102","551718518.0009372","545398248.8796717","520613155.359148","526597083.6319395","510649611.68650603","515711814.3706539","503196848.5119592","553282651.1371981","518444357.66531944","530453580.34828585"
"Cerrado","457627460.85836864","463745664.3583267","468012632.9830991","459754201.299914","457967948.80180174","465644372.45568794","406847294.26974744","374579745.362617","387714581.47574383","384869327.20482826","397112078.38846415","376747431.686676","381514690.2562157","439234810.0504725","462074223.46801937","398005761.1404464","353441184.47551954","368933968.92150414","387283943.48451215","365165785.6891534","368741653.64858896","373898794.5885322","438829827.86622983","457878055.30013615","432740503.31846476","429544156.27101827","401734405.8688496","395739487.7262925","388318931.6081155","436606288.18023807","471819176.41318536","446303126.1616945","467536685.573764","514732165.1082473"
"Caatinga","105718051.80020167","106881528.0990645","104822585.0258819","84039562.1115874","87637824.76837371","90887927.4491749","85984873.44820826","78113797.73049533","83189558.90246068","95896778.45423281","86171940.81451917","78044466.98379642","77035817.07103652","80873184.60813305","82398592.34053536","89201018.77944343","89720977.84891027","91358256.9128232","98367455.51889029","93379770.50389822","96719490.62880202","98422859.72772956","95397497.77887893","100694394.24350347","108999782.66732344","107960277.63623226","104734174.30961607","99393507.35844819","103497637.56660092","109274016.05926824","109958908.25398855","132226467.29046974","133874053.51393671","142913596.96003675"
"NA","211890527.9908818","217910762.30573514","218662011.97385544","226084958.68522966","232515381.07665718","250462470.55857632","266032955.09171048","281698441.76911724","289542767.8811947","299437188.9147648","284617516.9986258","289307692.99118423","291932621.39876366","287520944.2228026","303757296.766999","302930168.5696472","306792224.2730962","141910219.59355897","147010209.30510658","132311249.18418427","129896287.31341864","138622915.5673092","118329968.7063215","119346619.29512203","126419272.78120595","119788810.41951093","111679961.55230406","113204865.33783586","117683832.39123057","113295181.16664469","105016728.26169014","114820942.1230066","113480564.39066137","109461951.74678293"
"Pampa","62189614.50748174","64038242.73000118","62153533.31605274","65999274.615452915","63586052.79072392","62849074.906780824","56916584.0870474","61013929.2344182","57332599.689668894","57798647.47260527","56785349.27875921","59677035.9581107","58454946.01448171","67990648.14677721","67259813.32518469","56217976.51030312","55007280.93680727","58101278.00230688","63626927.32130419","61623016.8097402","68911662.04850331","72475803.84089608","73191546.2595149","78724965.34187485","73018477.1008021","73762020.87763081","69059168.34025253","69109067.61893407","67107269.40256214","71124277.015582","65782375.810189515","76577004.82745959","61874574.121300556","59969575.01672823"
"Pantanal","16281602.879117798","17591512.301610384","18345845.717877105","15596841.348068701","18589817.213105213","20444174.470443204","22714601.15660349","16946868.633177362","17214605.068098847","15197093.607985582","14442301.665061746","15044122.651167134","16112641.531359348","18474363.484284215","19330463.179244112","16048217.89532405","17058701.423300587","13021146.591018315","14113818.894606289","14703866.322957952","13423267.886916097","12644290.613423834","12483498.50078806","13045203.171287514","13513502.90761202","12888819.971204529","14403358.130065205","14204089.020972956","14534066.20134614","15048397.435063016","16996370.91165041","19857149.789274674","18730123.107126564","27055630.47506901"
